Date,Original Title,Outlet,Format,Link,Highlight,Author,Excerpt
3/2/18,Revenge of the stadium banks,The Intercept,Quote,https://theintercept.com/2018/03/02/crapo-instead-of-taking-on-gun-control-democrats-are-teaming-with-republicans-for-a-stealth-attack-on-wall-street-reform/,,NA,"â€śYou can tell theyâ€™re not technical fixes because they all push against consumers,â€ť said Mike Konczal of the Roosevelt Institute."
3/6/18,Why are Democrats helping to dismantle Dodd-Frank?,New York Times,Article,https://www.nytimes.com/2018/03/06/opinion/democrats-trump-dodd-frank.html,,Mike Konczal,But that view is mistaken: This bill goes far beyond the health of community banks and credit unions.
3/6/18,"Republicans are about to deregulate banks, with Democratic support",Vox,Quote,https://www.vox.com/explainers/2018/3/6/17081532/republicans-dodd-frank-financial-regulations,,NA,"â€śThe next crisis might be that a bunch of boring commercial banks all make the same mistake in a highly correlated way,â€ť says Mike Konczal, a financial reform expert at the Roosevelt Institute."
3/7/18,Senate Democrats just helped advance bill that could increase risk of financial crisis,Huffington Post,Quote,https://www.huffpost.com/entry/banks-financial-crisis-democrats_n_5a9ee620e4b002df2c5e594c,,NA,"It would be easy for the billâ€™s authors to clear up the confusion by adjusting the legislative text, said Mike Konczal, a fellow with the liberal Roosevelt Institute."
3/7/18,"Morning Scan- Cohn resigns, Dodd-Frank rollback bill moves forward",American Banker,Quote,https://www.americanbanker.com/morning-scan/cohn-resigns-dodd-frank-rollback-bill-moves-forward,,NA,"Mike Konczal, a fellow with the Roosevelt Institute, canâ€™t understand why so many Senate Democrats are helping President Trump dismantle the Dodd-Frank Act by voting for the Crapo bill."
3/9/18,"Senate bill could allow 2 top banks to hold billions less in reserves, reducing buffers against collapse",Washington Post,Quote,https://www.washingtonpost.com/news/wonk/wp/2018/03/09/senate-bill-could-allow-2-top-banks-to-hold-tens-of-billions-less-in-reserves-reducing-buffers-against-collapse/,,NA,"â€śIf this applies to JPMorgan, it would allow them to fund themselves with a lot fewer resources to handle a crisis by allowing them to take on far more risky debt,â€ť said Mike Konczal."
3/9/18,A provision hidden in the banking bill could hurt Black homeowners,The Atlantic,Quote,https://www.theatlantic.com/business/archive/2018/03/banking-bill-black-homeowners/555227/,,NA,"Mike Konczal of the Roosevelt Institute, a left-of-center think tank [â€¦] pointed to clear signs that the Trump administration has pulled back on a wide range of regulatory investigations."
3/9/18,Senate bill could allow 2 top banks to hold billions less in reserves,Washington Post,Quote,https://www.washingtonpost.com/news/wonk/wp/2018/03/09/senate-bill-could-allow-2-top-banks-to-hold-tens-of-billions-less-in-reserves-reducing-buffers-against-collapse/,,NA,NA
3/12/18,Republican senator proposes stripping Senate banking bill of help for big banks,Washington Post,Quote,https://www.washingtonpost.com/news/wonk/wp/2018/03/12/republican-senator-proposes-stripping-senate-banking-bill-of-help-for-big-banks/,,NA,"""Removing this and revisiting it with fresh eyes is a very good idea,"" Mike Konczal, a banking expert at the Roosevelt Institute, a left-of-center think tank, said of Corker's latest amendment."
3/30/18,Markov Chains,Gin and Tacos: Mass for Shut-ins,Podcast,https://massforshutins.libsyn.com/episode-003-markov-chains,,NA,"Mike and I discuss the art of punditry, appearing on TV without pants, the myth of a democratized economy, and stock buybacks. We also do Professor Brothers voices."
4/2/18,The vanishing Republican agenda,Slate,Quote,https://slate.com/news-and-politics/2018/04/republicans-are-surprisingly-content-with-trumps-accomplishments.html,,NA,"As Mike Konczal of the Roosevelt Institute pointed out on Tuesday, Republicans seem strangely uninterested in strategically evaluating what happened on that front or how the party has spent its political capital."
4/18/18,A Socialist Silicon Valley,Jacobin,Quote,https://www.jacobinmag.com/2018/04/big-tech-techlash-facebook-cambridge-analytica,,NA,"Fortunately, people on the Left have already started coming up with proposals. Mike Konczal and Seth Ackerman have explored how to turn Uber into a worker-owned cooperative."
4/25/18,Both US Reps Conor Lamb and Keith Rothfus voted to weaken a Wall Street regulation,Pittsburgh City Paper,Quote,https://www.pghcitypaper.com/Blogh/archives/2018/04/23/both-us-reps-conor-lamb-and-keith-rothfus-voted-to-weaken-a-wall-street-regulation,,NA,"â€śThe next crisis might be that a bunch of boring commercial banks all make the same mistake in a highly correlated way,â€ť said Mike Konczal."
4/27/18,Why politicians should promise every American a job,Vox,Quote,https://www.vox.com/2018/4/27/17278052/case-for-jobs-guarantee-sanders-booker-gillibrand,,NA,"What would a more job-friendly Fed do, specifically? [â€¦] Mike Konczal and J.W. Mason of the Roosevelt Institute have a proposal for what tools specifically the Fed should use to achieve those goals."
5/5/18,How low can unemployment go? Economists keep getting the answer wrong.,Vox,Article,https://www.vox.com/the-big-idea/2018/5/4/17320188/jobs-report-natural-rate-unemployment-inflation-economics-april,,Mike Konczal,The April jobs report adds to the debate about whether a â€śnaturalâ€ť rate of unemployment exists.
5/14/18,Will capital plan cost big banks $400M or $121B? Yes,American Banker,Quote,https://www.americanbanker.com/news/will-capital-plan-cost-big-banks-400m-or-121b-yes,,NA,"â€śI have not heard a strong enough case for me to be very worried for our financial system if the leverage ratio is high enough to be binding instead of the risk-weighted"" ratio, Konczal said."
5/23/18,Relief or risk for smaller banks? Regulatory rollback nears,Barron's,Quote,https://www.barrons.com/articles/relief-or-risk-for-smaller-banks-regulatory-rollback-nears-1527015156,,NA,"â€śWe know from the savings and loan crisis that itâ€™s not always the biggest banks that screw up,â€ť Konczal tells Barronâ€™s. The Crapo bill, he say, â€śis a major pullback,â€ť of Dodd-Frankâ€™s rules."
5/24/18,Democrats are helping Republicans unleash Wall Street. What could go wrong?,The Week,Quote,https://theweek.com/articles/774762/democrats-are-helping-republicans-unleash-wall-street-what-could-wrong,,NA,"As Mike Konczal details, it ""removes protections for 25 of the top 38 banks; weakens regulations on the biggest players and encourages them to manipulate regulations for their benefit; and saps consumer protections."""
5/29/18,"Mica Lee Williams on Trumpâ€™s Title X Rule, Mike Konczal on Dodd-Frank Rollback",Radio Dispatch,Podcast,https://www.btrtoday.com/listen/radiodispatch/mica-lee-williams-on-trumps-title-x-rule-mike-konczal-on-dodd-frank-rollback/,,NA,"Also, Mike Konczal discusses the new financial deregulation bill, and how unions have historically lessened inequality."
6/1/18,LOLOLoligarchy,Lovett or Leave It,Podcast,https://art19.com/shows/lovett-or-leave-it/episodes/24a41d25-8345-4ba1-9123-a620c278042e,,NA,"Recorded live in Philadelphia, Jon is joined by the city's new district attorney Larry Krasner, Ezra Miller and his band Sons of an Illustrious Father, the Roosevelt Institute's Mike Konczal, comedian Franchesca Ramsey, and writer Dylan Marron for a special action-packed episode focused on economic inequality and what we can do about it."
6/5/18,Democrat Heidi Heitkamp voted to deregulate banks. Now a Koch brothers group is publicly thanking her,Vox,Quote,https://www.vox.com/2018/6/5/17425432/heidi-heitkamp-bill-bank-deregulation-koch-brothers-ad-americans-for-prosperity,,NA,"â€śPolitically, itâ€™s hard to see much upside to be associated with banks and deregulation and the possibility of another financial crisis,â€ť said Mike Konczal, a fellow with the Roosevelt Institute."
6/22/18,The new Democratic Party,The National Review,Quote,https://www.nationalreview.com/the-morning-jolt/democrats-economic-policy-radicalism-has-obstacles/,,NA,"Are the Democrats moving leftward? Mike Konczal, a writer and fellow at the progressive Roosevelt Institute, says the answer is yes."
6/25/18,What became of the 'uncertainty' meme?,Los Angeles Times,Quote,https://www.latimes.com/business/hiltzik/la-fi-hiltzik-uncertainty-20180625-story.html,,NA,A few critics noticed the self-referential aspect of the uncertainty index [â€¦] Among them was Mike Konczal of the Roosevelt Institute.
6/27/18,An odd time for group to be mum,Los Angeles Times,Quote,https://www.proquest.com/docview/2059395096,,NA,NA
8/3/18,Republicans used to celebrate voluntarism and service. What happened?,Washington Post,Quote,https://www.washingtonpost.com/outlook/republicans-used-to-celebrate-volunteerism-and-service-what-happened/2018/08/03/7544bfe4-95bd-11e8-a679-b09212fb69c2_story.html,,NA,NA
8/28/18,"""A â€śSocial Wealth Fund"" Could Be The Next Big Idea",The Intercept,Quote,https://theintercept.com/2018/08/28/social-wealth-fund-united-states/,,NA,Another problem Konczal highlights is that social wealth funds are more difficult tools to capture privately held wealth.
9/9/18,Reforms havenâ€™t eliminated risk of another Lehman-type failure,MarketWatch,Quote,https://www.marketwatch.com/story/reforms-havent-eliminated-risk-of-another-lehman-type-failure-2018-09-07,,NA,"Mike Konczal, a fellow with the Roosevelt Institute where he works on financial reform, told MarketWatch in an interview, â€śtriggering OLA for any institution requires a lot of people to turn the key. Itâ€™s not that easy."""
9/19/18,The banking industry is spending big on red-state Democrats in 2018,Vox,Quote,https://www.vox.com/policy-and-politics/2018/9/19/17874240/banks-heitkamp-tester-banking-bill-donations,,NA,"â€śThe idea that thereâ€™s this big tension between midsize and community banks, and that they have different interests that donâ€™t line up, doesnâ€™t pan out,â€ť said Mike Konczal, a fellow at the progressive think tank the Roosevelt Institute."
10/23/18,Fake Accounts Still Haunt Wells Fargo,Bloomberg,Quote,https://www.bloomberg.com/opinion/articles/2018-10-23/fake-accounts-still-haunt-wells-fargo,,NA,"Elsewhere, here is an argument from Mike Konczal that â€śto stabilize our economy, we should unionize the financial sector."""
11/1/18,Democrats Must Become The Party Of Freedom,Talking Points Memo,Article,https://talkingpointsmemo.com/feature/democrats-must-become-the-party-of-freedom,,Mike Konczal,"But at its core these are a diagnosis of whatâ€™s gone wrong with our notion of our freedom, and how we can begin to recover it. (with Nellie Abernathy)"
12/30/18,Pinkerton: The Green New Deal: Its Real Enemies May Surprise You,Breitbart,Quote,https://www.breitbart.com/environment/2018/12/30/pinkerton-green-new-deal-real-enemies-may-surprise-you/,,NA,"So we can see, Konczal sees the Green New Deal as far more than just an environmental cause; itâ€™s also a vehicle for many social reforms, tooâ€”all ultimately adding up to overcoming, as he puts it, the Democratsâ€™ â€śideas problem.â€ť"
2/7/19,Democrats Aim to Limit Corporate Windfall From Trump Tax Cut,New York Times,Quote,https://www.nytimes.com/2019/02/07/us/politics/stock-buybacks-democrats.html,,NA,NA
3/8/19,â€�Neoliberalâ€™ Shouldnâ€™t Be a Dirty Word on the Left -,Bloomberg,Quote,https://www.bloombergquint.com/view/neoliberalism-is-out-of-favor-as-left-goes-social-democrat#gs.0396xa,,NA,Mike Konczal of the Roosevelt Institute echoes their assessment.
4/15/19,How to Fix the Federal Reserve,Barrons,Quote,https://www.barrons.com/articles/how-to-fix-the-federal-reserve-51555093361,,NA,Mike Konczal and J.W. Mason of the Roosevelt Institute argue the Fed should lend to state and local governments and give banks cheap funding in exchange for boosting credit supply.
6/12/19,Bernie Sanders injects a big idea into the presidential race,Washington Post,Quote,https://www.washingtonpost.com/opinions/2019/06/12/bernie-sanders-injects-big-idea-into-presidential-race/?noredirect=on,,NA,"As Mike Konczal explains, the failures of neoliberalism [â€¦] are what has created the opening for an explosion of new progressive proposals for structural economic reforms."
6/14/19,Weâ€™re All â€�Socialistsâ€™ Now,NY Magazine,Quote,http://nymag.com/intelligencer/2019/06/bernie-sanders-socialism-speech-gwu.html,,NA,"Elite conservatives attuned to these developments did not hesitate to criticize the Fed for its socialistic violations of the free marketâ€™s purity. But as Konczal and Mason explain, this critique is naĂŻve."
6/25/19,Eliminating student debt would be a terrific economic stimulus program,LA Times,Quote,https://www.latimes.com/business/hiltzik/la-fi-hiltzik-student-debt-stimulus-20190624-story.html,,NA,"Economist Mike Konczal of the Roosevelt Institute cites a 2014 speech by Janet L. Yellen, then the Federal Reserve chair, who observed that since 2001 college costs had become â€śespecially burdensome for households in the bottom half of the earnings distribution.â€ť"
7/11/19,AOC Is Making Monetary Policy Cool (and Political) Again,NY Magazine,Quote,http://nymag.com/intelligencer/2019/07/aoc-is-making-monetary-policy-cool-and-political-again.html,,NA,She then asked if the central bank would consider doing a similar favor for state and municipal governments in a future recession. The Roosevelt Instituteâ€™s J.W. Mason and Mike Konczal outlined the logic of such a policy in 2017.
9/20/19,The Student Debt Problem Is a Family Crisis,The Nation,Book Review,https://www.thenation.com/article/student-debt-zaloom/,,Mike Konczal,Indebted (Caitlin Zaloom)
10/20/19,Sanders plan would mean billionaires taxed more than they earn,Washington Examiner,Quote,https://www.washingtonexaminer.com/policy/economy/sanders-plan-would-have-billionaires-taxed-more-than-they-earn,,NA,Konczal argued that the high income tax rates and the wealth tax would work together to prevent the accumulation of wealth by the top 1% of income earners.
10/20/19,Sanders plan would mean billionaires taxed more than they earn,Washington Examiner,Quote,https://www.washingtonexaminer.com/policy/economy/sanders-plan-would-have-billionaires-taxed-more-than-they-earn,,NA,NA
10/25/19,Warren and Sanders race to out-left each other â€” and moderates are terrified,Politico,Quote,https://www.politico.com/news/2019/10/25/warren-sanders-progressive-race-056903,,NA,"â€śIn every policy world, there is a much more progressive vision than the status quo before it,â€ť he said. But in this primary, Konczal added, â€śItâ€™s moved at such a rapid pace, itâ€™s hard to keep track of. Itâ€™s sort of amazing."""
11/4/19,"The progressive vision for economic growth, explained",Vox,Quote,https://www.vox.com/policy-and-politics/2019/11/4/20851387/economy-democrats-2020-elizabeth-warren-bernie-sanders-gdp,,NA,"â€śItâ€™s very key, and it makes sense that making sure people have access to education and health and security has really great consequences, because then they roll off and benefit everyone in a growth manner,â€ť said Roosevelt Institute fellow Mike Konczal."
11/21/19,Pete Buttigieg Is Worried That Free Public College Would Benefit Billionaires,New York Magazine,Quote,http://nymag.com/intelligencer/2019/11/buttigiegs-critique-of-free-college-doesnt-make-the-grade.html,,NA,"According to the Roosevelt Instituteâ€™s Mike Konczal, children whose parents are in the top one percent of earners would commandeer a whopping 1.4 percent of spending on tuition-free college."
11/21/19,Moderate Democrats Should Stop Pretending That Free College Is a Giveaway to Rich Kids,Slate,Quote,https://slate.com/business/2019/11/free-college-is-for-rich-kids-cut-it-out-moderate-dems.html,,NA,"The Roosevelt Instiuteâ€™s Mike Konczal did a bit of quick-and-dirty math Wednesday and found that if you made public higher education free, just 1.4 percent of the benefits would go to children whose parents are in the top 1 percent."
12/2/19,Mayor Pete Is Wrong â€” Free Public College Could Unite the Country,Truthout,Quote,https://truthout.org/articles/mayor-pete-is-wrong-free-public-college-could-unite-the-country/,,NA,"Should free public college truly come to be, only 1.4 percent of the benefit would go to the children of millionaires and billionaires, Roosevelt Instituteâ€™s Mike Konczal estimated."
12/3/19,Should College Be Free?,New York Times,Quote,https://www.nytimes.com/2019/12/03/opinion/free-college-tuition.html,,NA,"Mike Konczal, a fellow at the Roosevelt Institute, estimates that families within the top 1 percent of the income distribution would capture 1.4 percent of total spending on free college."
12/6/19,Buttigieg Attacks Top Democratic Rivals on Tuition-Free College for All,New York Times,Quote,https://www.nytimes.com/2019/12/06/us/politics/buttigieg-sanders-warren-free-tuition.html?searchResultPosition=1,,NA,"Ms. Warrenâ€™s campaign on Friday cited calculations by Mike Konczal, a fellow at the Roosevelt Institute, who estimated that only 1.4 percent of spending on a universal free college program would go to the children of millionaires and billionaires."
12/6/19,Who Should Get Free College? Buttigieg Ad Inflames Key Divide Among Democrats,NPR,Quote,https://www.npr.org/2019/12/06/785167895/who-should-get-free-college-buttigieg-ad-inflames-key-divide-among-democrats,,NA,"Konczal wrote that he considers that a ""worthwhile trade off,"" given that under Warren and Sanders' plans, the rich would also be financing free college."
12/6/19,Buttigieg Attacks Top Democratic Rivals on Tuition-Free College for All,New York Times,Quote,https://www.nytimes.com/2019/12/06/us/politics/buttigieg-sanders-warren-free-tuition.html,,NA,NA
12/10/19,"A 5,000-Year-Old Plan to Erase Debts Is Now a Hot Topic in America",Bloomberg,Quote,https://www.bloomberg.com/news/articles/2019-12-10/a-5-000-year-old-plan-to-erase-debts-is-hot-topic-now-in-america,,NA,"â€śThere were 5 million foreclosures,â€™â€™ says Mike Konczal, a fellow at the Roosevelt Institute. â€śItâ€™s a real stain on the Obama presidencyâ€™s legacy. They had access to tools to be able to combat them.â€™â€™"
1/15/20,Democrats are moving past neoliberalism â€” and to this view instead,Vox,Quote,https://www.vox.com/policy-and-politics/2020/1/15/21065823/neoliberal-progressive-economic-vision-roosevelt-institute-papers-warren-sanders,,NA,"The first plank of the Roosevelt Instituteâ€™s effort is an examination of neoliberalism and where it has â€” and, more prominently, hasnâ€™t â€” worked."
1/15/20,The Empirical Failures of Neoliberalism,Roosevelt Institute,White Paper,https://rooseveltinstitute.org/publications/the-empirical-failures-of-neoliberalism/,,NA,"Ultimately, the authors debunk neoliberalsâ€™ arguments, tracking them against recent research by leading scholars of economic inequality to show how neoliberalism has failed to deliver its promises of increased economic growth, equality, and mobility."
1/24/20,"Finally, a Bipartisan Bill That Would Help All Families",The Nation,Article,https://www.thenation.com/article/economy/child-tax-credit-allowance/,,Mike Konczal,"In short, not only is a child allowance achievable, but it could be implemented quickly, would build support for the Democratic Party, and would provide security for our most vulnerable. Whatâ€™s not to like?"
2/10/20,"Itâ€™s Still the Economy, Stupid",The Nation,Quote,https://www.thenation.com/article/economy/democratic-socialism-economy-primary/,,NA,"As Mike Konczal of the Roosevelt Institute notes, â€śThis shows a level of disdain for what the actual liberal infrastructure has been thinking, building, and arguing. Itâ€™s not â€�fashion.â€™ The deficit isnâ€™t a priority while rates remain low, lower than growth, and we desperately need decarbonizing investment.â€ť"
2/26/20,What would Mike Bloomberg actually do as president?,NBC News,Quote,https://www.nbcnews.com/politics/2020-election/what-would-mike-bloomberg-actually-do-president-n1141756,,NA,"Mike Konczal, a fellow at the progressive Roosevelt Institute, said of Bloomberg's plan. ""At a time it really mattered, his vocal opposition [to Dodd-Frank], I think. really made things harder, so you want to question if this is a sincere turnaround."""
3/18/20,"Sanders proposes $2,000 monthly cash payments until the end of the coronavirus crisis",Business Insider,Quote,https://www.businessinsider.com/coronavirus-bernie-sanders-calls-for-monthly-2000-cash-payments-2020-3?r=UK&IR=T,,NA,"""There's increasing agreement on sending out checks to everyone,"" Mike Konczal, director of the Roosevelt Institute, a liberal think tank, told Business Insider. ""Sanders's plan is important because it emphasizes that this can't be a one-time thing but instead something that continues through the recession."""
3/18/20,A Forward-Thinking Policy Response to the Coronavirus Recession,Roosevelt Institute,White Paper,https://rooseveltinstitute.org/publications/a-forward-thinking-policy-response-to-the-coronavirus-recession/,,NA,"We focus on the nature of the economic crisis, and also assess the wisdom and viability of short-term relief efforts and the long-term need to build a more resilient economy."
3/19/20,The Stimulus Plan That We Need Now,The Nation,Article,https://www.thenation.com/article/economy/coronavirus-stimulus/,,Mike Konczal,"There are three essential aspects to the stimulus plan we urgently need right now: It should be bold and equitable, it should automatically renew, and its temporary programs should be able to evolve into more permanent ones."
3/19/20,Democrats' destructive obsession with means testing,The Week,Quote,https://theweek.com/articles/903154/democrats-destructive-obsession-means-testing,,NA,"If you were confused why people dug in so hard on free college debates, even if it seemed like the stakes were so low, it's because this targeted vs. universalism really is a giant chasm within the left-liberal space, wrote Mike Konczal, another progressive policy analyst."
3/19/20,Will a recession doom Trump? A new forecast says yes.,Washington Post,Quote,https://www.washingtonpost.com/opinions/2020/03/19/will-recession-doom-trump-new-forecast-says-yes/,,NA,"â€śA good north star for Democrats to follow is this blueprint from the Roosevelt Instituteâ€™s Mike Konczal. It calls for larger direct cash payments than the White House has offered...The overriding principle here, as Konczal puts it, is that â€�the risks of doing too little right now far outweigh those of doing too much.â€ť"
3/20/20,Our Never-Ending Recession,The New Republic,Quote,https://newrepublic.com/article/157002/never-ending-recession,,NA,"According to the Roosevelt Instituteâ€™s Mike Konczal, those payments are exactly the type of support that could stave off a recession, particularly if they were set to automatically renew for as long as an economic slump continued.Â "
3/20/20,The Republican Stimulus Bill is Full of Holes,The New Yorker,Quote,https://www.newyorker.com/news/our-columnists/the-republican-stimulus-bill-is-full-of-holes,,NA,"â€śIt is one of those proposals that was considered a far-out idea a short while ago but is quickly becoming regarded as reasonable,â€ť Mike Konczal, the director for progressive thought at the Roosevelt Institute, who has written a useful guide to the stimulus debate, told me on Thursday evening."
3/23/20,The coronavirus could pull policies like universal health care from the edge into the mainstream,The Philadelphia Inquirer,Quote,https://www.inquirer.com/health/coronavirus/coronavirus-crisis-social-change-history-reform-20200322.html,,NA,"The coronavirus will likely spur extremely heavy government intervention in the days ahead, more so than after the 2008 economic collapse and with less blaming of the poor, Konczal said. Still, he was unsure how much people would in fact rally together behind progressive measures."
3/23/20,"Poll backs monthly stimulus payments, rejects biz bailouts",One Illinois,Quote,https://www.oneillinois.com/stories/2020/3/23/poll-backs-monthly-stimulus-payments-rejects-biz-bailouts,,NA,"â€śThe McConnell bill is a failure on four of these five dimensions and will struggle on the fifth,â€ť Konczal writes. â€śSerious changes will be needed in order for this bill to match the scale of our crisis.â€ť"
3/23/20,McConnellâ€™s Response to the Coronavirus Recession Fails Key Tests,Roosevelt Institute,White Paper,https://rooseveltinstitute.org/publications/mcconnells-response-to-the-coronavirus-recession-fails-key-tests/,,NA,The recent bill introduced by Senate Majority Leader Mitch McConnell tries to stem the current economic crisis. [...] We can evaluate the bill along these lines.
3/24/20,Plan Beats No Plan,New York Times,Quote,https://www.nytimes.com/2020/03/24/opinion/coronavirus-bailout-democrats.html,,NA,"The bill contained no guaranteed aid to state governments, as Mike Konczal of the Roosevelt Institute noted â€” and state aid is one of the most effective forms of economic stimulus."
3/24/20,Americaâ€™s Diseased Politics,The New Republic,Quote,https://newrepublic.com/article/157039/americas-diseased-politics-coronavirus-legislation,,NA,"As the Roosevelt Institute economist Mike Konczal wrote in justifying his proposed stimulusâ€”a $580 billion plan that would send $2,000 to each adult and $1,000 to each child in every American household, in concert with other financial assistance on various debtâ€”â€śthe risks of doing too little right now far outweigh those of doing too much.â€ť"
3/24/20,Economists say policy timing key to fast coronavirus recovery,Roll Call,Quote,https://www.rollcall.com/2020/03/24/economists-say-policy-timing-key-to-fast-coronavirus-recovery/,,NA,"Those automatically recurring stimulus measures are necessary because the political window for another round of stimulus may close, said Mike Konczal, director of progressive thought at the Roosevelt Institute. â€śThe initial 2009 stimulus ask was built with the assumption that they could always go back and get a second chance at it,â€ť he said. â€śThey could not.â€ť"
3/24/20,Trump wants the economy â€�raring to goâ€™ by Easter. Economists reject that idea,Roll Call,Quote,https://www.rollcall.com/2020/03/24/trump-wants-the-economy-raring-to-go-by-easter-economists-reject-that-idea/,,NA,"Mike Konczal, director of progressive thought at the Roosevelt Institute, noted the contrast between the health care sector of the economy facing acute strains because of demand for COVID-19 treatment and the rest of the economy where demand is plummeting."
3/25/20,â€śIt Will Look Like a Depressionâ€ť: A Financial Expert Warns Us About Whatâ€™s Coming Next for the Economy,Mother Jones,Quote,https://www.motherjones.com/politics/2020/03/can-the-federal-government-stop-the-small-business-apocalypse/,,NA,"As the details of the Senate negotiations came together, I asked Konczal what he thinks the federal government should do to jumpstart the economy, what could hinder an effectiveÂ recovery, and what lessons from the last recession could apply to this one."
3/26/20,"With a Uniquely Fragile Economy, Stimulus Is Not Enough",Boston Review,Article,http://bostonreview.net/class-inequality-politics/mike-konczal-felicia-wong-uniquely-fragile-economy-stimulus-not-enough,,Mike Konczal,Our long-term goal must go well beyond the Senate bill to build a more resilient economy.
3/26/20,Our Political System Is Hostile to Real Reform,Dissent Magazine,Article,https://www.dissentmagazine.org/online_articles/our-political-system-is-hostile-to-real-reform,,Mike Konczal,The stimulus bill doesnâ€™t come anywhere near to meeting the challenge that we face.
3/26/20,The U.S. Is on Track for the Worst Coronavirus Outbreak in the World,GQ,Quote,https://www.gq.com/story/trump-worst-outbreak-globally,,NA,"Mike Konczal, who researches financial reform and unemployment at the Roosevelt Institute, recently told Mother Jones that the economy will most certainly ""look like a depression"" by the third quarter of 2020."
3/27/20,"Belabored Podcast #194: The Coronavirus Bailout, with Mike Konczal",Belabored - Dissent Magazine,Podcast,https://www.dissentmagazine.org/blog/belabored-podcast-194-the-coronavirus-bailout-with-mike-konczal,,NA,"We are joined by Mike Konczal of the Roosevelt Institute to discuss the highs and lows of the pandemic package, and what the government could do to protect the most vulnerable while addressing endemic inequality.Â Â "
4/1/20,We Can Finally See the Real Source of Washington Gridlock,The Atlantic,Quote,https://www.theatlantic.com/ideas/archive/2020/04/republican-party-discovers-virtues-stimulus/609244/,,NA,"""But you could imagine them saying, â€™Okay, if unemployment is about 6 percent, or if the CDC thinks we're still in an outbreak, we could automatically renew it,â€™"" Mike Konczal, director of progressive thought at the Roosevelt Institute, told me."
4/2/20,11 questions about the coronavirus economic crisis you were too embarrassed to ask,Vox,Quote,https://www.vox.com/coronavirus-covid19/2020/4/2/21201905/coronavirus-economic-crisis-recession-depression-stimulus-checks-covid-19,,NA,"â€śFundamentally, this needs to be a government solution. Individual acts of charity or trying to keep the economy afloat are not sufficient at this moment,â€ť Konczal said. â€śThe recession is ultimately a collective problem, and the government will be the one who determines what happens to small business, self-employed people, and so on down the line.â€ť"
4/7/20,The Next Bite at the Stimulus Apple & Pandemic Voting in Wisconsin w/ Mike Konczal & John Nichols,The Majority Report,Podcast,https://majorityreportradio.com/2020/04/07/4-7-the-next-bite-at-the-stimulus-apple-pandemic-voting-in-wisconsin-w-mike-konczal-john-nichols,,NA,"Sam hosts Mike Konczal, Director of Progressive Thought at the Roosevelt Institute, to discuss the stimulus package and what Congress will do next.Â "
4/13/20,Why the Fed Was the Part of Government Most Ready for This Crisis,New York Magazine,Quote,https://nymag.com/intelligencer/2020/04/why-the-fed-was-so-ready-for-the-coronavirus-pandemic.html,,NA,"â€śThere was certainly a sense that, for the new reality of low interest rates across Western society, the Fed would have to innovate monetary policy, and youâ€™re seeing some of the fruits of that thinking,â€ť says Mike Konczal, an economic-policy expert at the progressive Roosevelt Institute think tank."
4/16/20,States and cities are â€śfalling off a cliffâ€ť as the economic crisis sets in,Vox,Quote,https://www.vox.com/policy-and-politics/2020/4/16/21223398/state-city-budgets-coronavirus-economic-crisis-ppp-cares-act,,NA,"""This is exactly one of the big reasons the Great Recession in 2009 had a lot of problems, because I donâ€™t think they anticipated how tough the states would get, and as such, it counteracted or made worse the downward plunge,â€ť said Mike Konczal, a fellow at the Roosevelt Institute."
4/22/20,Will the Coronavirus Relief Bill Prevent a Great Depression?,Hammer Museum,Panel,https://www.youtube.com/watch?v=9YqvVMVB0Z8,,NA,"President Trump signed a $2 trillion bipartisan relief bill designed, in part, to protect people from the economic fallout from the COVID-19 pandemic. But is it best characterized as a stimulus package, a bailout, an emergency relief plan, or something else?"
5/4/20,How Bailout Backlash and Moral Hazard Outrage Could Endanger the Economy,New York Times,Quote,https://www.nytimes.com/2020/05/04/upshot/bailout-backlash-moral-hazard.html,,NA,"â€śThey bailed out financial firms that had directly caused the housing bubble and financial crisis,â€ť said Mike Konczal, a fellow at the liberal Roosevelt Institute. â€śThatâ€™s moral hazard and thatâ€™s real, and it made people angry for good reason. This is not that situation.â€ť"
5/5/20,Austerity Will Make This Recession Worse,Pitchfork Economics,Podcast,https://pitchforkeconomics.com/episode/austerity-will-make-this-recession-worse-with-mike-konczal/,,NA,"Mike Konczal joins the show this week to explain why, in a recession, stimulus is particularly powerful and austerity is particularly harmful."
5/15/20,Nancy Pelosi says Democrats opted against putting federal aid on autopilot,Business Insider,Quote,https://www.businessinsider.com/nancy-pelosi-democrats-fed-aid-on-autopilot-sticker-shock-2020-5?r=UK&IR=T,,NA,"Some progressives expressed anxiety over the remarks. Mike Konczal, the director of progressive thought at the Roosevelt Institute, a left-leaning think-tank, said Democrats could be scaling back their ambitions out of confusion."
5/18/20,The tyranny of the Congressional Budget Office,The Week Magazine,Quote,https://theweek.com/articles/914617/tyranny-congressional-budget-office,,NA,"Mike Konczal of the Roosevelt Institute has done preliminary work plotting CBO interest rate forecasts against what actually happened, and it turns out for 30 years straight they have consistently overestimated interest trajectories."
